epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,9.999999747378752e-05,0.010461241938173771,0.09287618100643158,0.020931018516421318,0.005367196165025234,0.07198749482631683,0.010735394433140755
1,9.999999747378752e-05,0.005134921986609697,0.06939265877008438,0.01027042604982853,0.005182707216590643,0.07109323889017105,0.010366413742303848
2,9.999999747378752e-05,0.004951674025505781,0.06785862892866135,0.009903903119266033,0.005727023351937532,0.06844350695610046,0.011455275118350983
3,9.999999747378752e-05,0.0048271408304572105,0.06702534109354019,0.009654825553297997,0.004968228749930859,0.06384173780679703,0.009937549009919167
4,9.999999747378752e-05,0.004692171234637499,0.06584890931844711,0.009384875185787678,0.006080661900341511,0.0861542820930481,0.01216206606477499
5,9.999999747378752e-05,0.004665309563279152,0.06565386056900024,0.00933116301894188,0.00482000270858407,0.07007097452878952,0.009640969336032867
6,9.999999747378752e-05,0.004647590219974518,0.06575565040111542,0.009295712225139141,0.004886483773589134,0.0633808895945549,0.00977400690317154
7,9.999999747378752e-05,0.004594884347170591,0.06529359519481659,0.009190306067466736,0.004900991450995207,0.07103408873081207,0.009802927263081074
8,4.999999873689376e-05,0.004399545956403017,0.06316713243722916,0.008799616247415543,0.004612046759575605,0.06658194214105606,0.009225069545209408
9,4.999999873689376e-05,0.0043509225361049175,0.06276790052652359,0.008702353574335575,0.004649107810109854,0.06812987476587296,0.009299148805439472
10,4.999999873689376e-05,0.00431175297126174,0.06255960464477539,0.008624020032584667,0.004595005419105291,0.06560914218425751,0.009190987795591354
11,2.499999936844688e-05,0.0042106276378035545,0.06136061251163483,0.008421759121119976,0.004543490242213011,0.06196433678269386,0.009087932296097279
12,2.499999936844688e-05,0.004177027847617865,0.06108599156141281,0.008354558609426022,0.00453738821670413,0.062088076025247574,0.009075780399143696
13,1.249999968422344e-05,0.0041287061758339405,0.06059596687555313,0.008257916197180748,0.004449289292097092,0.06189350411295891,0.008899535983800888
14,1.249999968422344e-05,0.004113031551241875,0.060627683997154236,0.008226558566093445,0.004465099889785051,0.06442278623580933,0.008931090123951435
15,1.249999968422344e-05,0.0041077518835663795,0.06047198176383972,0.008216002956032753,0.00443972647190094,0.06297218799591064,0.008880380541086197
16,6.24999984211172e-06,0.004058504477143288,0.06001197546720505,0.008117509074509144,0.004421011079102755,0.0629810094833374,0.008842958137392998
17,6.24999984211172e-06,0.00405496871098876,0.05998557060956955,0.008110427297651768,0.004460688680410385,0.06221738085150719,0.0089223338291049
18,3.12499992105586e-06,0.0040309736505150795,0.05969027057290077,0.008062440901994705,0.004401505459100008,0.06279610842466354,0.008803949691355228
