epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,9.999999747378752e-05,0.019435077905654907,0.0924612358212471,0.04551507532596588,0.00469311373308301,0.05268150568008423,0.014399725943803787
1,9.999999747378752e-05,0.004575429484248161,0.05203933268785477,0.01197910774499178,0.004348170477896929,0.04986749216914177,0.01361703872680664
2,9.999999747378752e-05,0.004313835874199867,0.05019659548997879,0.011398989707231522,0.004403879400342703,0.05161144584417343,0.01362660899758339
3,9.999999747378752e-05,0.004158152267336845,0.04936199262738228,0.011004850268363953,0.004341211169958115,0.05426599457859993,0.013403603807091713
4,4.999999873689376e-05,0.003862022655084729,0.04689750075340271,0.01030924916267395,0.0037870011292397976,0.045829787850379944,0.012278592213988304
5,4.999999873689376e-05,0.003744210349395871,0.046285610646009445,0.00999433919787407,0.0038025309331715107,0.04741640016436577,0.012228304520249367
6,4.999999873689376e-05,0.0037128885742276907,0.046261392533779144,0.00991188082844019,0.003741651773452759,0.04707197844982147,0.012076426297426224
7,2.499999936844688e-05,0.0035701734013855457,0.04487729072570801,0.009570293128490448,0.0036041291896253824,0.04520903900265694,0.011777091771364212
8,2.499999936844688e-05,0.0035319451708346605,0.044771708548069,0.009466220624744892,0.003540144534781575,0.04427601024508476,0.011637857183814049
9,2.499999936844688e-05,0.0035019724164158106,0.04455060139298439,0.00939191970974207,0.0035176838282495737,0.044566262513399124,0.011558146215975285
10,1.249999968422344e-05,0.003418248612433672,0.04374515637755394,0.0091952383518219,0.0034980045165866613,0.04412081837654114,0.011494734324514866
11,1.249999968422344e-05,0.003386846976354718,0.04358247295022011,0.009120396338403225,0.003484597196802497,0.0440889447927475,0.011463292874395847
12,1.249999968422344e-05,0.0033803004771471024,0.043581366539001465,0.009093527682125568,0.003481304505839944,0.043868619948625565,0.011419213376939297
13,6.24999984211172e-06,0.003343431744724512,0.043173301964998245,0.009011615999042988,0.0034102757927030325,0.04338447004556656,0.011283603496849537
14,6.24999984211172e-06,0.0033311485312879086,0.04306728392839432,0.008979246020317078,0.003408832475543022,0.043241843581199646,0.01127606350928545
15,3.12499992105586e-06,0.003310244996100664,0.04285915940999985,0.00893279816955328,0.003404526039958,0.04326837137341499,0.011258740909397602
