epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,9.999999747378752e-05,0.0917101502418518,0.2645494043827057,0.2061268538236618,0.011822921223938465,0.08772145211696625,0.031087389215826988
1,9.999999747378752e-05,0.009587565436959267,0.07524669915437698,0.023641016334295273,0.008456134237349033,0.0715213418006897,0.023388316854834557
2,9.999999747378752e-05,0.007802426815032959,0.06626508384943008,0.01948108896613121,0.007405215408653021,0.0651058629155159,0.020661354064941406
3,9.999999747378752e-05,0.007143290247768164,0.0634496808052063,0.017607396468520164,0.0071989987045526505,0.0660381019115448,0.019863110035657883
4,9.999999747378752e-05,0.006780155934393406,0.06162875145673752,0.016607990488409996,0.006630588788539171,0.061667222529649734,0.018412407487630844
5,9.999999747378752e-05,0.006455975119024515,0.060311101377010345,0.015857389196753502,0.006155344657599926,0.05763355270028114,0.017363404855132103
6,9.999999747378752e-05,0.006117483600974083,0.058863382786512375,0.01516151987016201,0.005739384330809116,0.05593753606081009,0.016513990238308907
7,9.999999747378752e-05,0.005614823196083307,0.05607031285762787,0.014136772602796555,0.006039773114025593,0.06209550425410271,0.01710929535329342
8,9.999999747378752e-05,0.00525783421471715,0.05411967635154724,0.01340702548623085,0.005212379153817892,0.05350052937865257,0.015435255132615566
9,9.999999747378752e-05,0.005051032640039921,0.05320574715733528,0.012989172711968422,0.0049878498539328575,0.053859252482652664,0.014947554096579552
10,9.999999747378752e-05,0.004844278562813997,0.0516328439116478,0.01257587131112814,0.004745755810290575,0.05065429210662842,0.014456654898822308
11,9.999999747378752e-05,0.00474409107118845,0.05099058523774147,0.012364923022687435,0.00504918210208416,0.055160559713840485,0.015036812983453274
12,9.999999747378752e-05,0.00472303805872798,0.05140604078769684,0.01231436338275671,0.004732506349682808,0.05089353397488594,0.014435969293117523
13,4.999999873689376e-05,0.0045782229863107204,0.049508001655340195,0.012020292691886425,0.0045667849481105804,0.04871237650513649,0.014088364318013191
14,4.999999873689376e-05,0.004574676975607872,0.04967730492353439,0.01201567891985178,0.004535687156021595,0.048719748854637146,0.014031685888767242
15,4.999999873689376e-05,0.004572294186800718,0.04973912984132767,0.012009353376924992,0.004637143574655056,0.05072372034192085,0.014208507724106312
16,2.499999936844688e-05,0.00450820242986083,0.048800960183143616,0.01188108790665865,0.004490818362683058,0.04850894212722778,0.013934815302491188
17,2.499999936844688e-05,0.0044991811737418175,0.048853933811187744,0.011861258186399937,0.004520369693636894,0.04891229793429375,0.013989768922328949
18,1.249999968422344e-05,0.004469909239560366,0.048409849405288696,0.0118027962744236,0.0044699180871248245,0.0482315830886364,0.013889256864786148
