epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse,val_weighted_mae,val_weighted_mse,weighted_mae,weighted_mse
0,0.0003000000142492354,0.01610780879855156,0.12090839445590973,0.04246773198246956,0.009914256632328033,0.10284516960382462,0.030202098190784454,0.09446513652801514,0.020067976787686348,0.11182494461536407,0.03392406553030014
1,0.0003000000142492354,0.010186460800468922,0.10489120334386826,0.028494952246546745,0.009849634021520615,0.10588418692350388,0.03061850182712078,0.09603674709796906,0.019942719489336014,0.09626959264278412,0.02062274143099785
2,0.0003000000142492354,0.009945855475962162,0.10399169474840164,0.027940349653363228,0.009592948481440544,0.10304971784353256,0.029652494937181473,0.09420458972454071,0.019424861297011375,0.09540461003780365,0.02013956382870674
3,0.0003000000142492354,0.009805719368159771,0.10333777964115143,0.02766123041510582,0.009868107736110687,0.10442396253347397,0.030139312148094177,0.096576988697052,0.019987553358078003,0.09478390216827393,0.019860556349158287
4,0.0003000000142492354,0.00966444332152605,0.1026470735669136,0.027353456243872643,0.00938084814697504,0.10254813730716705,0.029247701168060303,0.09403613954782486,0.019008202478289604,0.09413918107748032,0.01957750879228115
5,0.0003000000142492354,0.00959821604192257,0.10262054204940796,0.027251487597823143,0.009233228862285614,0.10197760909795761,0.02916673943400383,0.09312593936920166,0.01871669292449951,0.09408649057149887,0.01944628730416298
6,0.0003000000142492354,0.009383677504956722,0.10230638086795807,0.02673610858619213,0.009610097855329514,0.10962443798780441,0.030292684212327003,0.09969910234212875,0.019473254680633545,0.09380857646465302,0.01901472732424736
7,0.0003000000142492354,0.008812516927719116,0.10027151554822922,0.025435887277126312,0.008551490493118763,0.10294776409864426,0.027853773906826973,0.09357262402772903,0.01734783872961998,0.09190866351127625,0.017867479473352432
8,0.0003000000142492354,0.008249925449490547,0.09769468754529953,0.024247635155916214,0.007665012963116169,0.09444008767604828,0.02577623724937439,0.08546596765518188,0.015563965775072575,0.08936408907175064,0.016735639423131943
9,0.0003000000142492354,0.007785579189658165,0.09494102001190186,0.023231729865074158,0.007713865023106337,0.09364263713359833,0.025379976257681847,0.08557354658842087,0.015653084963560104,0.08653232455253601,0.015800176188349724
