epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,9.999999747378752e-05,0.015216036699712276,0.1175767257809639,0.03311426192522049,0.013917271047830582,0.1106669083237648,0.03301072120666504
1,9.999999747378752e-05,0.013424989767372608,0.10760030895471573,0.029533710330724716,0.013108951970934868,0.10578028857707977,0.03140101209282875
2,9.999999747378752e-05,0.013153857551515102,0.10581080615520477,0.028995009139180183,0.013069940730929375,0.10563597828149796,0.03135097026824951
3,9.999999747378752e-05,0.013096433132886887,0.105410136282444,0.028886491432785988,0.013041999191045761,0.105561763048172,0.03134036809206009
4,4.999999873689376e-05,0.013009949587285519,0.10483982414007187,0.028708288446068764,0.012989858165383339,0.10569433122873306,0.03120538778603077
5,4.999999873689376e-05,0.013010618276894093,0.104885533452034,0.02871161513030529,0.012970996089279652,0.10532518476247787,0.03115527518093586
6,4.999999873689376e-05,0.013025997206568718,0.10490342229604721,0.02874663472175598,0.013024072162806988,0.10558022558689117,0.03128454089164734
7,2.499999936844688e-05,0.012959086336195469,0.10447447746992111,0.0286131352186203,0.012946903705596924,0.10495983809232712,0.0311090350151062
8,2.499999936844688e-05,0.012946571223437786,0.10443175584077835,0.02858574315905571,0.013173979707062244,0.10727771371603012,0.03154239058494568
9,1.249999968422344e-05,0.012933942489326,0.10436724871397018,0.028563251718878746,0.012935795821249485,0.10505346208810806,0.031090306118130684
