,source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,vbroad,parallax,phot_g_mean_mag,alphafe_gspspec,original_ext_source_id,angular_distance,plate,mjd,fiberID,redshift,abs_g_mag,x_test_index,X_test_index
81810,2513113629793532032,33.40292261358511,0.8396349314706438,17.545172,16.24162,80.04191,209.32935,0.0,1.3035526,4460.5884,4.4982,-0.2226,,0.8239175487458091,16.971684,,1237666408993915048,0.045660358,1507,53763,409,0.0001258046,6.551102267501044,4021,4021
81831,2513160363332641024,34.73459965731504,0.836194670090133,17.093128,15.981781,109.28149,229.09984,0.0,1.1113472,4852.6704,4.4935,-0.3944,,0.7655754155434589,16.614456,,1237666408994504876,0.09910505,1072,52643,337,9.93509e-05,6.034396070551821,399,399
81854,2513309308502964480,32.866568077819544,0.8262956446333526,16.930187,15.613435,133.64323,195.41588,0.0,1.3167524,4396.214,4.19,-0.7597,,0.9378009666274492,16.347954,,1237657071698378895,0.020697856,1073,52649,324,-0.0002999374,6.208507176621978,3882,3882
81860,2513329649468405888,33.31315324434696,0.9832424693413344,16.691568,15.33424,172.37616,265.47913,0.0,1.3573284,,,,,0.827855174980491,16.088152,,1237678617432424682,0.02777536,1507,53763,417,1.1507e-06,5.6779237714354664,194,194
81951,2530704961139596288,11.631876293977923,-0.9792893826033084,16.550495,14.874121,298.01923,463.1648,0.066530235,1.6763744,4219.531,4.5203,0.162,,1.9400863142471885,15.753468,,1237657189836587175,0.040802356,1131,52902,287,1.707987e-05,7.192572820206259,2614,2614
81970,2530717983480515712,12.25739099004632,-0.9051980447292977,17.097029,15.774689,213.86415,488.66476,0.037996344,1.32234,4636.0713,4.6504,-0.066,,1.1318208940562509,16.502337,,1237657189836849239,0.024169836,1130,52669,222,-4.999923e-05,6.771225037055203,2405,2405
81977,2530723893355511552,12.132652843843742,-0.7595393118108127,16.430202,15.334551,342.70053,470.94934,0.0,1.0956516,4886.997,4.4724,-0.3062,,0.8874097596365657,15.963278,,1237663783128989703,0.073480844,1496,52883,259,-6.937095e-05,5.703898820425188,3910,3910
82035,2530851157531031936,10.647055264097443,-0.9974187999536596,18.078175,16.81727,133.16695,234.46315,0.0,1.2609043,4480.7554,4.3988,-1.0121,,0.6610069055547397,17.524143,,1237657189836128339,0.03176754,1495,52944,204,-7.557377e-05,6.625173201964341,126,126
82071,2530905862529882112,10.936597785172658,-0.8696450638658776,17.50878,16.43052,141.3612,311.455,0.0,1.0782604,4865.122,4.3919,-1.0405,,0.5113156503544277,17.050095,,1237657189836259489,0.048557144,1495,52944,131,-0.0001650097,5.593540033590816,3186,3186
82104,2530929811267607424,11.799654944914538,-0.6146738514256078,18.032644,16.478827,108.15554,176.76161,0.08010557,1.5538177,4116.541,4.7149,-0.4098,,0.7526416905165354,17.298801,,1237656971301486760,0.062056374,1130,52669,246,8.458752e-06,6.68174277811201,1918,1918
82132,2530945204430380416,11.541952803468748,-0.5287104561207118,17.594255,16.265154,130.10449,264.0473,0.0,1.3291016,4434.497,4.3949,-0.4638,,0.6727725350819294,16.998116,,1237656971301421134,0.032406375,1131,52902,311,-6.924918e-05,6.13745680824271,1365,1365
82142,2530949465037937664,11.4906730034312,-0.4555124907612188,18.351276,16.48398,79.282036,287.72742,0.06584484,1.8672962,4137.7256,4.3668,0.0656,,1.1896756945240732,17.417393,,1237656971301355669,0.06532698,1132,52903,318,-3.3248e-05,7.794535675179986,1881,1881
82277,2533040976672053632,16.720237899568517,-1.181138300404027,17.789652,16.08136,103.63522,370.98508,0.0,1.708292,4339.9814,4.5735,0.2699,,1.1499192034574912,16.955736,,1237663782594084985,0.04786733,1498,52914,84,-5.631864e-05,7.2590727936755854,3783,3783
82288,2533056640417338880,16.523469454907392,-1.0959404836293383,18.358162,16.64671,71.13519,150.83669,0.0,1.7114525,3797.8423,4.3714,-0.7171,,1.1117293520025056,17.536058,,1237663782594019403,0.039769303,1082,52523,121,-8.059161e-05,7.7660537864220665,2302,2302
82493,2533652408216200704,18.402826275956784,-1.1068920780189628,17.83029,16.764084,84.40878,149.54866,0.16719367,1.066206,4947.6763,4.7204,-0.8541,,0.5255790916653055,17.367575,,1237663782594805932,0.020745166,1499,53001,82,-0.0001403972,5.97076509177807,1750,1750
