group,source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,abs_g_mag,plate,mjd,fiberID,simbad_main_id,simbad_otype,name_source,match_separation_arcsec
main_sequence_central,2545259196557506816,4.80970988080542,-0.2661820071595794,1.0715627866635258,17.159449,1.8454018,7.309536738542867,1121,52873,198,2MASS J00191430-0015582,LM*,gaia_dr3_ident,0.0
main_sequence_central,846746862468190208,155.18663929184427,49.25996145523644,2.7032443325575355,15.722383,1.6767254,7.881809051223172,874,52338,393,2MASS J10204467+4915357,LM*,gaia_dr3_ident,0.0
main_sequence_left,797526743414637056,142.80691749119802,34.37497582062391,0.0061446028153858,16.278921,0.6366472,-4.77860979512087,1593,52991,516,Case A-F  434,RR*,gaia_dr3_ident,0.0
main_sequence_left,1337575961276827264,255.9147824861741,32.999189476742124,0.0002605777663064,17.97869,0.58286095,-9.941624021501385,973,52426,517,[VV2006] J170339.5+325956,QSO,gaia_dr3_ident,0.0
main_sequence_right,1333563847643825792,258.2456209473354,31.908161885264352,12.22591772487541,17.01525,3.0599957,12.451656596569642,976,52413,104,2MASS J17125892+3154286,LM*,gaia_dr3_ident,0.0
main_sequence_right,1487199019709432320,220.63174575986463,39.20388427960491,13.931135622473164,16.503399,3.220234,12.223331496217387,1350,52786,471,2MASS J14423165+3912135,LM*,gaia_dr3_ident,0.0
white_dwarfs,1029230844528601472,132.11640385917732,52.23917077642631,9.445041296205025,18.08406,0.2762127,12.960079974503902,447,51877,499,GALEX J084827.9+521421,WD*,gaia_dr3_ident,0.0
white_dwarfs,1601777507236908672,237.00400214736183,57.26024870206616,4.401358187584457,18.01427,0.049585342,11.23220434939525,617,52072,563,GALEX J154801.0+571537,WD*,gaia_dr3_ident,0.0
