source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff,logg,mh,vbroad,alpha
4874716073403617408,73.10889923000889,-31.671044535325393,10.496353,9.51826,3810.0042,4105.173,0.7291175,0.97809315,5496.3623,4.5568,-0.497,9.528657,0.18
4889511995220050688,62.68109161083802,-27.7084348825464,11.992178,11.250648,2342.4695,2962.6792,0.11296667,0.7415304,6038.6196,4.1653,-0.1947,,0.11
5078928161871500288,46.47607729785212,-20.951317928842023,10.695749,10.087704,1946.5598,3332.3125,0.20622042,0.6080456,6438.967,3.8566,-0.255,23.32851,0.61
5537835384415918848,118.99531041181442,-39.27878040266908,12.044948,10.726047,2542.972,3832.0374,0.13949671,1.3189011,4435.0205,2.1111,-1.0271,9.807339,0.01
5541069700948183936,121.74281144186916,-37.89077646432871,12.285487,11.440373,2448.8103,3449.1807,0.06736736,0.84511375,5565.961,4.2732,-0.248,,-0.07
5548132139016106112,124.5711216334029,-31.04305345871385,13.036948,12.027699,2787.1113,2984.298,0.053958107,1.0092487,5137.97,4.4805,-0.7755,,-0.0
5573034977859456896,92.00776082807471,-39.98453977691717,12.603865,11.8478365,1965.6456,3424.8652,0.0691658,0.7560282,6133.674,4.0982,-0.2105,,-0.09
5582366223808309888,102.08055881110052,-34.62167667370342,12.548811,11.681778,2216.6338,3917.2056,0.090949476,0.867033,5802.0283,4.1549,-0.0953,11.873196,-0.04
5603457532591869440,107.70523435919235,-32.243848552955974,12.6517725,11.889628,2915.2346,3572.556,0.054888546,0.7621441,5901.8994,3.9657,-0.1998,,0.08
5608445505745763328,102.17723404509911,-29.96232890997626,11.135506,10.603811,846.9701,1343.2876,0.18354243,0.5316944,7067.6045,3.7181,-0.3933,30.889019,0.82
5609922523523070976,108.20410441510978,-27.606792947464935,12.519272,11.816126,3159.967,3478.4766,0.47680253,0.703146,6128.7695,4.0425,-0.2927,11.603775,0.49
5610189777874274944,107.4907188727233,-27.0669913567922,12.08061,11.353232,2892.8252,3394.7305,0.091098376,0.7273779,5937.048,4.2797,-0.4145,,0.41
5612360282545236608,113.28629456277584,-27.387940943671065,12.354299,10.907164,2405.2537,3362.5847,0.16245414,1.447135,4907.0176,2.4464,-0.3999,6.2612944,0.01
5612534726939118336,114.38226550193797,-26.45392989874491,12.322618,11.54349,2564.8748,3679.58,0.17849047,0.7791271,5752.0054,4.2935,-0.5147,8.691401,0.09
5627139780403779840,132.05704287254807,-33.643228618625976,11.905404,10.918736,1940.2125,2845.5898,0.15535659,0.98666763,5232.77,4.5556,-0.4159,6.8557076,0.05
5647548949595891584,134.97672351414474,-29.353497768532662,12.922703,12.084757,2474.178,2944.5981,1.3513077,0.83794594,6106.3994,3.8915,-0.6698,18.650793,0.29
5697325181029660032,121.41389455016075,-25.55082106452494,12.084553,10.230027,1280.7878,2770.4534,0.13725537,1.8545256,4283.7515,1.7028,0.1071,,0.06
5718817506611230592,115.59609325182264,-16.991508025047978,12.564868,11.995819,2638.8618,4153.0825,0.9604976,0.5690489,6815.3994,3.8704,0.0105,,0.21
125474999948548736,48.89890828423138,33.432442817766386,12.325014,11.50774,1698.6991,2072.998,0.20094441,0.8172741,6573.544,3.9865,-0.4037,,0.02
156187795686699008,78.14014707071087,30.24612095535585,12.967954,12.067426,1794.2408,3563.4092,0.32674375,0.90052795,6595.7134,4.1253,-0.1346,21.288128,0.39
175702576594383104,65.07312836295458,33.58423959413674,13.002348,11.06569,739.32446,1963.6368,0.087121874,1.9366579,4680.429,2.0695,0.1118,6.4449563,0.02
191241459033230720,83.71754672829573,40.60882899023297,12.364034,11.042827,1553.5029,1886.7751,0.20416063,1.321207,5806.349,2.9484,-0.0213,7.4909368,-0.07
195891194926568960,83.5148784516116,44.51536185488981,11.742803,10.39406,699.2206,956.5301,0.11764956,1.3487425,4533.5894,4.6053,0.2169,5.344408,0.06
202359273937479552,78.07996534045084,43.81406358951084,11.74007,10.866349,2234.3604,3309.758,0.21113901,0.8737211,5546.6035,4.3943,-0.3533,,0.0
227667012250522624,64.77252627076678,40.300232776242446,12.407217,11.249925,1473.7417,2165.364,0.09105247,1.1572924,6574.2695,3.7764,-0.5529,,0.09
588989004402749824,142.82405177982974,9.115044927134432,13.00018,12.207098,2040.037,2774.378,0.0,0.79308224,5758.8076,4.4048,-0.3619,,0.06
594063727305795584,141.47045026084777,12.894147433532641,9.745544,9.084322,3102.0085,5088.742,1.749856,0.66122246,6190.169,4.3548,-0.5252,7.923414,0.33
596653356363130496,129.58692690274677,9.11508607655294,11.938252,10.341909,1480.3666,2503.739,0.22262062,1.596343,4473.416,1.3583,-0.3365,10.205103,0.2
610465348415871744,135.47673477188985,15.76068731930055,10.987078,10.14026,3451.9795,4764.1025,0.05822856,0.846818,5770.9985,4.4902,0.2723,9.811018,-0.04
645958343969813504,144.1427686046654,26.233413844840804,12.131214,11.226422,2485.0547,3783.779,0.13374639,0.90479183,5393.603,4.4349,-0.4944,8.922182,0.03
651215280862102656,126.31541632931122,13.56660697440405,12.196282,11.418606,2078.379,2534.7349,1.6451048,0.7776766,5975.1143,4.3252,-0.4096,9.253949,0.15
654515190135684608,118.64299892692269,14.506085768097165,11.1695795,10.330492,3021.6514,2735.528,0.07267555,0.8390875,5568.0786,4.3835,-0.3983,,0.15
670598017295943296,120.69106725875547,20.358125466170105,12.214594,10.668756,1141.0547,2057.6323,3.149789,1.5458384,4474.17,4.5317,0.4993,13.545905,0.13
742396779424668928,153.1810925355163,30.244122237954336,12.021877,11.2116785,2073.374,3128.2732,0.12740746,0.8101988,5663.985,4.1639,-0.3038,,0.17
919961791277447168,116.27964329768082,38.07326800127093,13.107198,11.896544,1309.6345,2968.8022,0.055238955,1.2106533,4812.5786,2.5857,-0.1839,9.801127,-0.02
959053071776746240,96.61434896677945,43.65377840140044,12.191189,11.129046,1878.2845,3301.1655,0.11177406,1.0621424,6099.3667,2.6953,-0.1033,,0.12
1172731272461403648,219.4161059194557,7.862161923056288,11.630923,9.939766,496.54456,662.55035,0.14957084,1.6911573,4251.1475,1.1929,-0.754,11.422193,0.26
1184503949618258688,222.26619238122197,12.580185484035168,10.718543,9.676794,2356.2793,5907.252,0.18192096,1.041749,5709.8906,3.2914,-0.0123,7.0995345,-0.07
1233019659675667456,212.89377090467755,16.57336728201059,11.138393,10.358368,987.58,1542.997,0.10140213,0.7800255,5764.9507,4.1689,-0.1424,8.869533,0.1
