source_id,ra,dec,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,astrometric_excess_noise,bp_rp,teff,logg,mh,vbroad,alpha,original_ext_source_id,angular_distance
3724551796065085440,204.89771499341273,7.583512418240282,12.772368,12.176311,1929.9236,1756.9003,0.09185055,0.5960579,6532.7983,4.0997,-0.466,,0.21,1237661972267925577,0.093952425
3797936745451748864,170.87825997273302,0.4599381546078498,9.380425,8.24571,2282.1653,2654.762,0.11561759,1.1347151,5046.7524,2.8466,-0.1807,6.8891263,0.02,1237674650998472716,0.29967448
3836033277165419008,150.01498124208536,1.8458893796926443,11.250358,10.196811,323.5969,40.11893,0.06825416,1.0535469,5399.033,4.486,-0.1136,,0.08,1237651736280694860,0.12730488
3837997138076679296,141.1419199662176,-2.3658458110966145,12.558833,11.854344,1708.1375,3128.6309,0.24924055,0.70448875,6130.018,4.2662,-0.5067,,-0.05,1237654871067263032,0.049898002
3844361596709666560,140.92536027644405,2.0588345900740417,12.085588,11.011917,2228.0088,3499.5408,0.17316684,1.0736713,5074.6733,4.6152,-0.0438,8.782959,0.11,1237673708259311688,0.08464374
3847031210941894912,147.0003879940131,2.5892366169433205,13.901189,12.328704,1605.5327,2599.0178,0.0,1.572485,4454.8203,4.6775,0.4997,,0.17,1237651754532798475,0.049733415
3847154764266151680,147.17348069295218,3.077987473104361,11.740819,11.127207,2331.369,2791.4495,0.27782577,0.6136122,6520.8413,4.3298,-0.4793,6.8740344,0.5,1237654604246351894,0.091569304
3883322378923024128,155.4471278102619,11.405544999602302,10.676066,9.738495,1519.1056,3597.6997,0.08780645,0.9375715,5391.981,4.3804,0.2313,,-0.01,1237660670891851842,0.24054499
3890695149847582080,158.27404810522947,17.806735830995663,11.851214,11.1283655,1888.2029,1836.9884,0.10775034,0.7228489,5979.751,4.2271,-0.039,8.108951,0.03,1237668289084915773,0.087581806
3927713580347080192,192.98264375195467,11.109463215884707,12.379418,11.460144,1673.6747,2472.7249,0.2901286,0.91927433,5359.8154,4.4247,-0.1722,12.898179,0.05,1237662239080448038,0.04440799
3930902915686150656,191.55492732844854,14.722201181978576,12.808609,11.84316,1721.5837,2729.2976,0.074074745,0.96544933,5454.083,3.7958,-0.0997,,-0.2,1237664290468069422,0.094570674
3934107511044929408,191.58696317604165,15.54532776903495,12.374501,11.722165,2184.5115,2051.3245,0.11458459,0.6523361,6300.7495,4.1416,-0.582,,0.11,1237664291541811286,0.06306134
3939298653332434176,200.58265740168483,19.458722192415706,11.545768,10.682127,2266.7603,3109.628,0.42585382,0.8636408,5449.2407,3.7204,-0.6982,9.2507105,0.26,1237668298210541604,0.057361174
3958964999343145472,187.55946413602996,22.952254547174874,13.157706,11.915288,1331.0867,2273.009,0.09525876,1.2424183,4643.9575,4.5725,0.0557,18.61647,0.01,1237667783372636214,0.09344975
3980160315055894912,172.6826070455304,21.63827351873199,11.601271,10.866984,1991.946,2478.1765,0.12161665,0.7342863,5924.805,4.2545,-0.2191,10.612085,0.03,1237667782292865075,0.09005228
3997471992491560576,168.39788301861154,26.900019358394655,13.028377,12.207563,1719.1804,2111.731,0.20158562,0.8208132,5602.423,4.0967,-0.4538,,0.23,1237667430642155547,0.03168926
4021021019002120064,175.88378537821785,30.2618569579203,10.541162,9.8527775,2228.8826,2153.7366,0.08732198,0.68838406,6076.777,4.1861,-0.3094,,0.12,1237667212136611876,0.24866162
4030244787692173952,182.62842182920173,36.469870962252884,12.490421,11.3687525,1542.5537,2790.9429,0.06821144,1.1216688,4873.125,4.5582,-0.123,8.452836,0.09,1237664817676746789,0.07659071
4418443555606879104,226.8790196516066,-0.8486798964344052,13.301347,11.931502,949.221,1617.4122,0.07949793,1.3698444,4867.24,2.7076,0.0291,,-0.21,1237655693552910477,0.11548512
4352332738928960896,248.0184958423781,-6.182215231423867,12.11501,11.012949,2763.956,3696.5527,0.15314193,1.1020613,5988.1904,3.9757,-0.754,8.929671,0.1,1237668649319399674,0.089328334
1201879772391038080,243.40449230526414,20.49780994977748,12.893581,11.819319,2311.9712,2760.8408,0.06557246,1.0742626,5044.6553,4.436,-0.2519,,-0.08,1237662695966113917,0.028424267
1204203688999340160,239.28291927909652,20.032136342202147,12.278002,10.711603,1285.8544,1860.9448,0.08628242,1.5663986,4263.268,1.4394,-0.5671,7.361133,0.18,1237665372796289046,0.050621375
1212893610430376576,225.4942141594512,19.04407925511552,10.733647,10.405383,1518.8597,2040.333,0.59869915,0.32826424,7674.1245,4.2439,-0.3105,24.987112,0.73,1237665565537992716,0.020783281
1215504851762181632,230.07685858117688,22.756275036777744,13.246298,12.06567,1320.9293,2405.5972,0.069468655,1.1806278,4894.1094,2.7517,-0.3296,11.284739,-0.1,1237665442603597986,0.009286658
1277593105152951040,232.85822277311135,33.10990612052999,12.29531,11.459058,2501.9116,2621.5896,0.14868532,0.8362522,5834.4453,4.3799,-0.6554,,0.12,1237661871883485264,0.027316656
1308857095517608320,255.98745895586495,29.899193154828033,12.763827,12.088812,1742.184,3179.7798,0.064513914,0.67501545,6273.1074,4.1136,-0.5113,,0.52,1237655471826075798,0.022279134
1327456193694109184,248.82121678107993,34.55970086447266,11.947409,11.2480135,1823.7323,3571.6653,0.089421935,0.6993952,6041.856,4.0809,-0.2281,,0.05,1237661387081711680,0.08262351
1338603798490784000,257.7283377890371,36.393155161808814,12.146978,10.823823,1840.976,3797.832,0.10976695,1.3231554,4511.9336,2.1168,-0.3679,8.525545,0.06,1237671936043450497,0.11187516
3090912423327220608,121.98707312239414,2.1557886902717307,12.167524,11.29454,1962.3429,3100.4155,0.25249845,0.87298393,5782.9487,4.2952,-0.227,6.961414,0.1,1237658297907413085,0.026264215
3098312926855256704,123.27691765744511,8.695961352668563,13.007487,11.79089,1548.574,1204.0457,0.025408143,1.2165976,4719.7188,4.5749,0.1331,11.010741,0.03,1237671124292272488,0.041723814
3111802319622392576,108.47677523319722,1.3192735525103927,9.849079,9.372542,1344.8855,2072.003,0.20588028,0.47653675,7182.696,3.6446,-1.987,,-0.22,1237646798668825867,0.21848667
3121943351584773760,93.19858992714732,0.24173869902507938,12.417481,11.546659,1205.1119,2356.238,1.4310476,0.87082195,5872.7144,4.154,-0.363,15.056334,0.44,1237658222212940607,0.039790668
3128672676281912832,104.39308176528218,4.72019161602767,11.777921,10.465776,799.76965,1213.6152,0.103905186,1.3121443,4879.9517,2.5753,-0.1362,,-0.16,1237679584308232285,0.012794854
3149334149033552768,115.20627400513095,9.684266305928134,12.906874,11.80352,1106.6094,2552.2493,0.04801492,1.1033535,4941.132,2.8385,-0.4367,,-0.01,1237667429545214527,0.018660223
3150814877661010944,117.894208963621,11.656529235546135,13.322608,12.254911,2205.8752,3431.5493,0.0719134,1.0676966,5060.002,3.272,-0.2547,5.656139,0.25,1237667293179805981,0.054213617
3167140357590997632,110.88230704799136,15.337993936494753,12.619707,11.556832,1046.7188,2744.144,0.08942769,1.0628748,5039.1807,3.5564,-0.1577,8.038854,-0.02,1237674371284992102,0.04542909
3168005024704478848,109.05690687832909,15.287260669179012,13.313725,12.0207405,1421.2705,2508.0547,0.051302765,1.292985,4575.178,2.2526,-0.3706,,-0.19,1237673844083065549,0.01719025
3235926393436237824,81.04757370565954,2.9731834534181614,12.847248,11.427439,1959.32,3813.3896,0.06876178,1.4198093,4669.7554,2.9829,0.3487,5.895929,-0.08,1237649742869627241,0.08895766
3286605010368545280,65.63825589276124,6.774931397918851,11.65627,10.934715,1768.6879,2535.6877,0.1394182,0.72155476,6492.615,4.0559,-0.6017,14.877595,0.13,1237673473101004883,0.3052045
3351542270187293440,101.76966285070544,11.701366924986246,11.72495,11.095866,1828.0079,2083.9573,0.080279045,0.62908363,6397.1514,4.2183,-0.3747,17.55156,0.41,1237673809719919546,0.07949543
