epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,9.999999747378752e-05,0.03459570184350014,0.13625814020633698,0.07935532182455063,0.0061237867921590805,0.06179950758814812,0.017870673909783363
1,9.999999747378752e-05,0.00567487021908164,0.05916787311434746,0.01451464369893074,0.005277624819427729,0.0558064803481102,0.015607992187142372
2,9.999999747378752e-05,0.005110214464366436,0.05539939925074577,0.013162745162844658,0.005190872587263584,0.05631646141409874,0.015384609811007977
3,4.999999873689376e-05,0.004786721430718899,0.05215499922633171,0.012469491921365261,0.004702897276729345,0.05121459811925888,0.014388857409358025
4,4.999999873689376e-05,0.00473110843449831,0.05188635736703873,0.012353328987956047,0.004684048239141703,0.05184558406472206,0.014329159632325172
5,2.499999936844688e-05,0.004621497355401516,0.050398848950862885,0.012131075374782085,0.004593196790665388,0.05057208612561226,0.014159046113491058
6,2.499999936844688e-05,0.004596594255417585,0.05038486793637276,0.012075302191078663,0.004596242215484381,0.05156654119491577,0.01415190938860178
7,1.249999968422344e-05,0.004540993832051754,0.04959466680884361,0.011968621052801609,0.004495242610573769,0.04923679679632187,0.013950692489743233
