epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,9.999999747378752e-05,0.010417400859296322,0.09329874068498611,0.02084188349545002,0.00557182589545846,0.07297556847333908,0.011144829913973808
1,9.999999747378752e-05,0.0051821875385940075,0.07011213153600693,0.010364977642893791,0.006056016776710749,0.07030797004699707,0.012113340198993683
2,9.999999747378752e-05,0.005003736354410648,0.068336620926857,0.010008053854107857,0.00538181746378541,0.07724073529243469,0.010764540173113346
3,9.999999747378752e-05,0.004864680115133524,0.06709172576665878,0.009729910641908646,0.00506642134860158,0.06561817973852158,0.010133869014680386
4,9.999999747378752e-05,0.004773860331624746,0.06640365719795227,0.009548275731503963,0.004873393103480339,0.06678789854049683,0.009747756645083427
5,9.999999747378752e-05,0.00474912766367197,0.06641010195016861,0.009498811326920986,0.005440967623144388,0.06745443493127823,0.01088313851505518
6,9.999999747378752e-05,0.004672624170780182,0.06584657728672028,0.009345795959234238,0.004849201533943415,0.06300950795412064,0.00969941820949316
7,4.999999873689376e-05,0.004428482614457607,0.0632312074303627,0.008857490494847298,0.00472073582932353,0.06463778018951416,0.009442408569157124
8,4.999999873689376e-05,0.0043975356966257095,0.0629822239279747,0.008795591071248055,0.004701562691479921,0.06670401990413666,0.009404049254953861
9,4.999999873689376e-05,0.004367474466562271,0.06288957595825195,0.008735474199056625,0.005091736558824778,0.07559701055288315,0.010184246115386486
10,2.499999936844688e-05,0.004261915571987629,0.061889588832855225,0.008524350821971893,0.004748998209834099,0.0622536800801754,0.009499013423919678
11,2.499999936844688e-05,0.004242162220180035,0.061682943254709244,0.00848484318703413,0.004538522567600012,0.06588907539844513,0.00907790195196867
12,2.499999936844688e-05,0.004222035873681307,0.06144865229725838,0.008444585837423801,0.00453707342967391,0.06475123018026352,0.009075052104890347
13,2.499999936844688e-05,0.004234184045344591,0.06168784201145172,0.008468890562653542,0.004526174161583185,0.06202872842550278,0.009053301997482777
14,1.249999968422344e-05,0.0041251881048083305,0.06055491417646408,0.00825088657438755,0.004437390249222517,0.06284404546022415,0.008875693194568157
15,1.249999968422344e-05,0.004117728676646948,0.06053503230214119,0.008235965855419636,0.004439843352884054,0.06372808665037155,0.008880559355020523
16,1.249999968422344e-05,0.004104381427168846,0.06042306870222092,0.008209267631173134,0.0044343359768390656,0.06206803396344185,0.008869627490639687
17,6.24999984211172e-06,0.004060100764036179,0.06001987308263779,0.008120707236230373,0.004406321793794632,0.06284943222999573,0.008813554421067238
18,6.24999984211172e-06,0.0040613929741084576,0.06000366061925888,0.008123286068439484,0.004396653734147549,0.06277621537446976,0.008794233202934265
19,3.12499992105586e-06,0.004035347606986761,0.05974335968494415,0.008071204647421837,0.00439509516581893,0.0633108913898468,0.00879109837114811
