epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,9.999999747378752e-05,0.01891474612057209,0.09160444885492325,0.04361381009221077,0.004753659944981337,0.052683062851428986,0.014545628800988197
1,9.999999747378752e-05,0.004591706208884716,0.05209055542945862,0.012013208121061325,0.004615823272615671,0.05498571693897247,0.014081679284572601
2,9.999999747378752e-05,0.004372452851384878,0.05060776323080063,0.01151328720152378,0.004244945012032986,0.05024607479572296,0.013299219310283661
3,9.999999747378752e-05,0.004230902995914221,0.04985892400145531,0.011211401782929897,0.0042992690578103065,0.052022095769643784,0.013344403356313705
4,9.999999747378752e-05,0.003996606450527906,0.04862098768353462,0.010593265295028687,0.0038671032525599003,0.04748385772109032,0.012404991313815117
5,9.999999747378752e-05,0.0038621919229626656,0.048160653561353683,0.010212386026978493,0.0036851842887699604,0.046274054795503616,0.011953928507864475
6,9.999999747378752e-05,0.0037307695019990206,0.04735959321260452,0.009892127476632595,0.004002176690846682,0.052489325404167175,0.012518142350018024
7,9.999999747378752e-05,0.0036423909477889538,0.04693901166319847,0.009646150283515453,0.003497036872431636,0.044627413153648376,0.01148210745304823
8,9.999999747378752e-05,0.003514145500957966,0.04593861475586891,0.009296569973230362,0.0036900704726576805,0.047989070415496826,0.011783418245613575
9,9.999999747378752e-05,0.0035166912712156773,0.04624686390161514,0.00928504765033722,0.0036869142204523087,0.0492301769554615,0.011735213920474052
10,4.999999873689376e-05,0.0032732682302594185,0.04364440217614174,0.008750631473958492,0.003470879513770342,0.04507776349782944,0.01128330733627081
11,4.999999873689376e-05,0.0032606692984700203,0.04355699196457863,0.008697247132658958,0.0033541880548000336,0.04474464803934097,0.011041018180549145
12,4.999999873689376e-05,0.003223782405257225,0.04328625276684761,0.00860603991895914,0.003313391236588359,0.043970707803964615,0.010937093757092953
13,4.999999873689376e-05,0.0032135399524122477,0.043403204530477524,0.008568046614527702,0.0032538080122321844,0.042899832129478455,0.010799187235534191
14,4.999999873689376e-05,0.003190257353708148,0.04343467578291893,0.008500488474965096,0.0034309232141822577,0.04438115283846855,0.011173986829817295
15,4.999999873689376e-05,0.003150713862851262,0.04300212487578392,0.008426457643508911,0.0032503632828593254,0.043810196220874786,0.010774045251309872
16,2.499999936844688e-05,0.003065778873860836,0.04193385690450668,0.008217934519052505,0.0031487559899687767,0.04203535243868828,0.01056299451738596
17,2.499999936844688e-05,0.003047883277758956,0.041860081255435944,0.008170798420906067,0.0031326860189437866,0.041800644248723984,0.010523330420255661
18,2.499999936844688e-05,0.0030337695498019457,0.04174993932247162,0.008139067329466343,0.0031859276350587606,0.042387332767248154,0.010624662972986698
19,1.249999968422344e-05,0.002983841812238097,0.04119235649704933,0.008026123978197575,0.003144975518807769,0.041697729378938675,0.01053441409021616
20,1.249999968422344e-05,0.002987417159602046,0.0412684865295887,0.008029071614146233,0.003166530281305313,0.04201982170343399,0.010578732006251812
21,6.24999984211172e-06,0.0029578497633337975,0.040899794548749924,0.007969538681209087,0.0031036839354783297,0.04136494919657707,0.01045211497694254
