epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse
0,9.999999747378752e-05,0.027523446828126907,0.12967799603939056,0.06253550946712494,0.013254296034574509,0.09201440960168839,0.028621062636375427
1,9.999999747378752e-05,0.012745517306029797,0.09225034713745117,0.027451246976852417,0.012889579869806767,0.09001030027866364,0.028095044195652008
2,9.999999747378752e-05,0.011819498613476753,0.08937787264585495,0.025535790249705315,0.012960921041667461,0.08847668021917343,0.028219131752848625
3,9.999999747378752e-05,0.011236408725380898,0.08706673234701157,0.024352360516786575,0.011214182712137699,0.08467017114162445,0.0247252956032753
4,9.999999747378752e-05,0.01100497879087925,0.08649984747171402,0.023877596482634544,0.012109269388020039,0.09056506305932999,0.02640458382666111
5,9.999999747378752e-05,0.010885335505008698,0.08578268438577652,0.02363576553761959,0.010617788881063461,0.08373814076185226,0.023419145494699478
6,9.999999747378752e-05,0.010417685844004154,0.08375318348407745,0.02264833264052868,0.011470128782093525,0.09023194015026093,0.02510499395430088
7,9.999999747378752e-05,0.010416577570140362,0.08415766060352325,0.022656837478280067,0.011150375008583069,0.08425857871770859,0.02447807416319847
8,4.999999873689376e-05,0.009613464586436749,0.07974135130643845,0.020992053672671318,0.01017160713672638,0.0787634551525116,0.022506365552544594
9,4.999999873689376e-05,0.009480942040681839,0.07955653965473175,0.020737338811159134,0.010443571023643017,0.08323967456817627,0.023044807836413383
10,4.999999873689376e-05,0.00940362922847271,0.07873434573411942,0.020574992522597313,0.010101710446178913,0.07848943024873734,0.022365864366292953
11,2.499999936844688e-05,0.008932019583880901,0.07637034356594086,0.019603226333856583,0.010092505253851414,0.08178357779979706,0.022350233048200607
12,2.499999936844688e-05,0.00880696251988411,0.07587085664272308,0.01934550330042839,0.009450809098780155,0.07798769325017929,0.02100328914821148
13,2.499999936844688e-05,0.008691179566085339,0.07547370344400406,0.019101303070783615,0.009360941126942635,0.07655012607574463,0.020831657573580742
14,2.499999936844688e-05,0.008748210966587067,0.07562494277954102,0.019209671765565872,0.009352070279419422,0.07812914997339249,0.020819174125790596
15,1.249999968422344e-05,0.008386893197894096,0.0738760232925415,0.018475709483027458,0.009219777770340443,0.07647421956062317,0.020537804812192917
16,1.249999968422344e-05,0.008361965417861938,0.07399191707372665,0.01841498725116253,0.009439237415790558,0.07856670767068863,0.020952485501766205
17,1.249999968422344e-05,0.008380797691643238,0.07410615682601929,0.01845231093466282,0.00914030522108078,0.075724758207798,0.0203628521412611
18,6.24999984211172e-06,0.008174975402653217,0.07319392263889313,0.018029438331723213,0.009067418985068798,0.07630360871553421,0.020210402086377144
19,6.24999984211172e-06,0.008148880675435066,0.07300134003162384,0.017971569672226906,0.009119615890085697,0.07551239430904388,0.02032802812755108
20,6.24999984211172e-06,0.008126853033900261,0.07297005504369736,0.017924703657627106,0.009127747267484665,0.07559634000062943,0.02034587971866131
21,3.12499992105586e-06,0.008045905269682407,0.07253694534301758,0.017764244228601456,0.009089772589504719,0.07556125521659851,0.020257487893104553
22,3.12499992105586e-06,0.00803646445274353,0.07249506562948227,0.017744211480021477,0.008988584391772747,0.07553504407405853,0.02005915716290474
23,1.56249996052793e-06,0.007995979860424995,0.07230478525161743,0.017660779878497124,0.009076198562979698,0.07506808638572693,0.020228654146194458
