source_id,cache_key,initial_teff,initial_logg,initial_mh,teff,logg,mh,teff_err,logg_err,mh_err,status
152047619011614592,ef1f37f7d693fb40,5181.03173828125,4.667799949645996,-0.8967000246047974,5289.271387623633,4.674996176697968,-0.9054043392010226,76.53237941447654,0.15447866356309353,0.014812986400581948,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 35, 'dof': 78, 'error': '', 'rms': np.float64(0.07817157107574482), 'chisq': np.float64(0.4949743564804681), 'rchisq': np.float64(0.0063458250830829245), 'wchisq': np.float64(17.51258232888446), 'rwchisq': np.float64(0.22452028626774947), 'niter': 2, 'nsynthesis': 13, 'status': 2}"
1297820202093665792,19742ed549d999e0,5753.4296875,4.678800106048584,-1.1166000366210938,5762.208458989909,4.675309985432283,-1.1256344004551762,37.08022056977519,0.0547855070791688,0.04284523574661683,"{'days': 0, 'hours': 0, 'minutes': 1, 'seconds': 5, 'dof': 78, 'error': '', 'rms': np.float64(0.05651155113821737), 'chisq': np.float64(0.2586779883758359), 'rchisq': np.float64(0.0033163844663568706), 'wchisq': np.float64(8.02609792235131), 'rwchisq': np.float64(0.10289869131219628), 'niter': 6, 'nsynthesis': 24, 'status': 5}"
580515167071431424,67866f94f626183c,6104.623046875,4.6595001220703125,-1.1586999893188477,6105.328300050835,4.659957074362147,-1.1582805111819838,33.43904205914123,0.026447103291284323,0.02291975777391548,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 17, 'dof': 78, 'error': '', 'rms': np.float64(0.06740293360440255), 'chisq': np.float64(0.36799559213683947), 'rchisq': np.float64(0.0047178922068825575), 'wchisq': np.float64(11.710549833223102), 'rwchisq': np.float64(0.15013525427209104), 'niter': 2, 'nsynthesis': 8, 'status': 2}"
1548356295989132032,c6fa53ad34d2feac,6033.6689453125,4.165500164031982,-0.6890000104904175,6034.768223837901,4.165739743566902,-0.6886871283371517,15.163297208734123,0.013409725360321662,0.015682064786251254,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 17, 'dof': 78, 'error': '', 'rms': np.float64(0.05833229158807408), 'chisq': np.float64(0.2756151555952039), 'rchisq': np.float64(0.003533527635835947), 'wchisq': np.float64(28.83520537786307), 'rwchisq': np.float64(0.3696821202290137), 'niter': 2, 'nsynthesis': 7, 'status': 2}"
147920842634097664,1f0fccaf086219ae,6010.37158203125,4.269700050354004,-0.6194000244140625,6054.532025545947,4.36156832634854,-0.8921688840718809,13.529584709207267,0.008400584505930033,0.011168935210664543,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 52, 'dof': 78, 'error': '', 'rms': np.float64(0.057719713809832186), 'chisq': np.float64(0.2698567943454035), 'rchisq': np.float64(0.003459702491607737), 'wchisq': np.float64(44.12810156611007), 'rwchisq': np.float64(0.565744891873206), 'niter': 5, 'nsynthesis': 20, 'status': 2}"
2545523143770922240,5d88be6912754543,4315.8447265625,4.4496002197265625,-0.17170000076293945,4460.526705274738,4.950127647274021,-1.2961546361149223,342.7771575462296,0.9484582960156273,0.30437690608739093,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 58, 'dof': 78, 'error': '', 'rms': np.float64(0.08858449268756247), 'chisq': np.float64(0.6356241999217375), 'rchisq': np.float64(0.00814902820412484), 'wchisq': np.float64(16.260608191335866), 'rwchisq': np.float64(0.20846933578635726), 'niter': 5, 'nsynthesis': 27, 'status': 2}"
150379556792593792,d511c1373001a446,6122.2158203125,4.4191999435424805,-1.0374000072479248,6161.435015134707,4.485223639357026,-1.006656410309903,19.679960102340466,0.026556928597333003,0.01141988098977317,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 45, 'dof': 78, 'error': '', 'rms': np.float64(0.062487226088884434), 'chisq': np.float64(0.3162769273669521), 'rchisq': np.float64(0.004054832402140412), 'wchisq': np.float64(19.098303223095094), 'rwchisq': np.float64(0.24485004132173196), 'niter': 5, 'nsynthesis': 21, 'status': 2}"
2544132987412032384,9231558c59d80705,4298.4677734375,4.50439977645874,-0.01080000028014183,4000.2682006354726,5.0,-2.5428330175971525,178.08956079708216,0.0,0.8497689667450739,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 45, 'dof': 78, 'error': '', 'rms': np.float64(0.09318286281464712), 'chisq': np.float64(0.7033267197090008), 'rchisq': np.float64(0.009017009227038473), 'wchisq': np.float64(31.304603159821962), 'rwchisq': np.float64(0.4013410661515636), 'niter': 6, 'nsynthesis': 22, 'status': 5}"
2535967533027855104,fdde8b13af2c8f35,4000.87939453125,4.6768999099731445,-0.09130000323057175,3939.1051960886175,5.0,-1.822875301673017,203.98233323117006,0.0,0.5257718845259968,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 46, 'dof': 78, 'error': '', 'rms': np.float64(0.1218286043673336), 'chisq': np.float64(1.2022189162094759), 'rchisq': np.float64(0.015413063028326613), 'wchisq': np.float64(81.88283208436371), 'rwchisq': np.float64(1.0497798985174835), 'niter': 6, 'nsynthesis': 22, 'status': 5}"
1667279920324171008,d84ce31ef87816ac,6388.3359375,4.172500133514404,-1.5169999599456787,6452.7348370441905,4.17155536438703,-1.532721075642223,17.523785990355965,0.015355843119691058,0.009870668371391462,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 24, 'dof': 78, 'error': '', 'rms': np.float64(0.058501310612549824), 'chisq': np.float64(0.2772146708142688), 'rchisq': np.float64(0.0035540342412085746), 'wchisq': np.float64(33.102082906102524), 'rwchisq': np.float64(0.4243856782833657), 'niter': 2, 'nsynthesis': 13, 'status': 2}"
2678007938366967936,57e1b577dfd70aa1,5280.75,4.644800186157227,-0.8652999997138977,5345.88019497187,4.665745953701418,-0.8128681086627682,61.4119270899707,0.05817651380967838,0.02149326530914647,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 45, 'dof': 78, 'error': '', 'rms': np.float64(0.065636566526855), 'chisq': np.float64(0.34896086810017524), 'rchisq': np.float64(0.00447385728333558), 'wchisq': np.float64(16.621109936190443), 'rwchisq': np.float64(0.2130911530280826), 'niter': 4, 'nsynthesis': 21, 'status': 2}"
175932688060588544,7ce216c7bec36d81,7177.5322265625,4.118800163269043,-0.18880000710487366,7197.176873419676,4.1747858338878325,-0.16818664193753893,8.980656165849703,0.010630730474516544,0.009249755894011896,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 24, 'dof': 78, 'error': '', 'rms': np.float64(0.06569021495784687), 'chisq': np.float64(0.3495315516378585), 'rchisq': np.float64(0.004481173738946903), 'wchisq': np.float64(80.54241120006854), 'rwchisq': np.float64(1.0325950153854941), 'niter': 2, 'nsynthesis': 12, 'status': 2}"
1396576511137730432,0c6a1d1fdb2097fc,6059.21826171875,4.450300216674805,-1.4852999448776245,6059.21826171875,4.450300216674805,-1.4852999448776245,24.81933257342616,0.011535616311986649,0.022998202072926542,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 14, 'dof': 78, 'error': '', 'rms': np.float64(0.05268439132667246), 'chisq': np.float64(0.22482725224641875), 'rchisq': np.float64(0.0028824006698258816), 'wchisq': np.float64(24.520034903751675), 'rwchisq': np.float64(0.3143594218429702), 'niter': 1, 'nsynthesis': 7, 'status': 2}"
902969152603806720,a247736a7243ed86,5572.12744140625,4.730500221252441,-1.5885000228881836,5711.070136803863,4.735609335794913,-1.7318332799686775,358.55533877843607,0.07821312310319521,0.22341528989594836,"{'days': 0, 'hours': 0, 'minutes': 0, 'seconds': 23, 'dof': 78, 'error': '', 'rms': np.float64(0.04913528437261948), 'chisq': np.float64(0.1955563698006329), 'rchisq': np.float64(0.0025071329461619604), 'wchisq': np.float64(8.896199665290583), 'rwchisq': np.float64(0.11405384186269978), 'niter': 2, 'nsynthesis': 11, 'status': 2}"
