epoch,learning_rate,loss,mae,mse,val_loss,val_mae,val_mse,val_weighted_mae,val_weighted_mse,weighted_mae,weighted_mse
0,0.0003000000142492354,0.008375526405870914,0.08105679601430893,0.024382712319493294,0.003943909890949726,0.06729331612586975,0.016595056280493736,0.057283915579319,0.00806503463536501,0.07233879715204239,0.017517896369099617
1,0.0003000000142492354,0.00396376010030508,0.06427724659442902,0.01398585457354784,0.0036113783717155457,0.06152712553739548,0.01524817943572998,0.05335621163249016,0.007395818829536438,0.05639208108186722,0.008117697201669216
2,0.0003000000142492354,0.0038617905229330063,0.06352860480546951,0.013708638958632946,0.0036522469017654657,0.06149659678339958,0.015190346166491508,0.053494058549404144,0.0074735670350492,0.05583517253398895,0.007913528941571712
3,0.0003000000142492354,0.0037356505636125803,0.06259365379810333,0.013429543934762478,0.003464649897068739,0.05972248688340187,0.014711237512528896,0.052171628922224045,0.007097750902175903,0.055057235062122345,0.007661992684006691
4,0.0003000000142492354,0.0036027568858116865,0.06153128668665886,0.013034448027610779,0.003692432539537549,0.06453488022089005,0.015021453611552715,0.05724557861685753,0.0075508407317101955,0.05417453870177269,0.007393007166683674
5,0.0003000000142492354,0.0034455202985554934,0.06057702749967575,0.012675601989030838,0.0035205078311264515,0.061666395515203476,0.014463642612099648,0.05593344196677208,0.007206212263554335,0.05316605791449547,0.0070764548145234585
6,0.0003000000142492354,0.0033152427058666945,0.059791866689920425,0.012357920408248901,0.0031040513422340155,0.056791260838508606,0.013891098089516163,0.0493738166987896,0.0063713653944432735,0.05228497087955475,0.0068132467567920685
7,0.0003000000142492354,0.0031457943841814995,0.058647722005844116,0.011979376897215843,0.002782124560326338,0.05503286421298981,0.013259426690638065,0.047178201377391815,0.005723786074668169,0.05105569213628769,0.006471746601164341
8,0.0003000000142492354,0.0029065217822790146,0.05682488903403282,0.01144645269960165,0.0025310292840003967,0.05255831032991409,0.012625500559806824,0.04488007724285126,0.005216553341597319,0.049057379364967346,0.0059872777201235294
9,0.0003000000142492354,0.002683826955035329,0.05478488653898239,0.010897607542574406,0.0025198818184435368,0.053860120475292206,0.012426543049514294,0.04642710089683533,0.005187352653592825,0.04692038521170616,0.005535457283258438
10,0.0003000000142492354,0.002556647639721632,0.05354393646121025,0.010541236028075218,0.0025044260546565056,0.052922483533620834,0.012593594379723072,0.04458070918917656,0.005157085135579109,0.04564579948782921,0.0052733286283910275
11,0.0003000000142492354,0.0024265951942652464,0.05213826149702072,0.010176735930144787,0.002244519302621484,0.05000592768192291,0.011713473126292229,0.04196539148688316,0.00463087810203433,0.044263411313295364,0.005009716376662254
12,0.0003000000142492354,0.0023575848899781704,0.05141196399927139,0.010010958649218082,0.0022463432978838682,0.049940913915634155,0.01175104733556509,0.04271615669131279,0.004635990131646395,0.04352039098739624,0.004870041739195585
13,0.0003000000142492354,0.0022910754196345806,0.050719741731882095,0.009796126745641232,0.002297737402841449,0.051557090133428574,0.013028043322265148,0.04255836829543114,0.004780194256454706,0.04286114126443863,0.004733799956738949
14,0.0003000000142492354,0.002256413921713829,0.05034523084759712,0.009734793566167355,0.0021288436837494373,0.048687681555747986,0.011331449262797832,0.04119812324643135,0.0043974402360618114,0.042450010776519775,0.004663452040404081
15,0.0003000000142492354,0.0022297766990959644,0.05008541792631149,0.009674710221588612,0.002055133692920208,0.04805699735879898,0.01132027618587017,0.04043170437216759,0.0042485808953642845,0.042194098234176636,0.00460971612483263
16,0.0003000000142492354,0.0021762268152087927,0.0495651476085186,0.009489987976849079,0.002337544923648238,0.052115581929683685,0.01183281373232603,0.04482005909085274,0.004812908824533224,0.04168890789151192,0.004498919006437063
17,0.0003000000142492354,0.0021167343948036432,0.048924826085567474,0.009329852648079395,0.002041381085291505,0.04828254133462906,0.011556234210729599,0.03969750553369522,0.004224969074130058,0.04107016697525978,0.004378060344606638
18,0.0003000000142492354,0.002066382672637701,0.04845469817519188,0.009197277948260307,0.0019084993982687593,0.04613187164068222,0.011008327826857567,0.038464151322841644,0.003951656632125378,0.040577273815870285,0.00427339319139719
