test_index,source_id,gaia_teff,gaia_logg,gaia_mh,real_teff,real_logg,real_mh,pred_teff,pred_logg,pred_mh,delta_teff,delta_logg,delta_mh
63,152047619011614592,5181.03173828125,4.667799949645996,-0.8967000246047974,5289.271387623633,4.674996176697968,-0.9054043392010226,5290.2119861735855,4.672849028519338,-0.9070248778909336,0.9405985499524832,-0.002147148178630154,-0.0016205386899109664
3594,1297820202093665792,5753.4296875,4.678800106048584,-1.1166000366210938,5762.208458989909,4.675309985432283,-1.1256344004551762,5754.502191913815,4.679269084152708,-1.1150937691769438,-7.706267076093354,0.00395909872042477,0.010540631278232349
1248,580515167071431424,6104.623046875,4.6595001220703125,-1.1586999893188477,6105.328300050835,4.659957074362147,-1.1582805111819838,6104.623046875,4.6595001220703125,-1.1586999893188477,-0.7052531758354235,-0.00045695229183451147,-0.00041947813686382673
3984,1548356295989132032,6033.6689453125,4.165500164031982,-0.6890000104904175,6034.768223837901,4.165739743566902,-0.6886871283371517,6035.961647926602,4.165833157615289,-0.6890017347325545,1.1934240887012493,9.341404838725254e-05,-0.00031460639540281665
1597,147920842634097664,6010.37158203125,4.269700050354004,-0.6194000244140625,6054.532025545947,4.36156832634854,-0.8921688840718809,6045.653340778497,4.376868907288086,-0.9896248005202832,-8.878684767450068,0.015300580939546116,-0.09745591644840235
3654,2545523143770922240,4315.8447265625,4.4496002197265625,-0.17170000076293945,4460.526705274738,4.950127647274021,-1.2961546361149223,4689.950886602599,4.961479369636554,-1.3232483477844683,229.42418132786133,0.01135172236253279,-0.027093711669545995
1802,150379556792593792,6122.2158203125,4.4191999435424805,-1.0374000072479248,6161.435015134707,4.485223639357026,-1.006656410309903,6158.697059216096,4.531174621419798,-1.013762277046435,-2.7379559186110782,0.04595098206277193,-0.007105866736532018
2783,2544132987412032384,4298.4677734375,4.50439977645874,-0.01080000028014183,4000.268200635473,5.0,-2.5428330175971525,4406.160959219537,5.0,-1.3702910592820758,405.89275858406427,0.0,1.1725419583150767
2621,2535967533027855104,4000.87939453125,4.6768999099731445,-0.09130000323057175,3939.1051960886175,5.0,-1.822875301673017,3972.9467009233736,5.0,-1.5328297378006632,33.84150483475605,0.0,0.2900455638723538
4015,1667279920324171008,6388.3359375,4.172500133514404,-1.5169999599456787,6452.734837044191,4.17155536438703,-1.532721075642223,6470.623463798809,4.185933624265329,-1.52051202914087,17.88862675461769,0.014378259878299104,0.012209046501352905
3313,2678007938366967936,5280.75,4.644800186157227,-0.8652999997138977,5345.88019497187,4.665745953701418,-0.8128681086627682,5419.676903048249,4.735798913849556,-0.9044129038011528,73.79670807637922,0.07005296014813833,-0.09154479513838465
460,175932688060588544,7177.5322265625,4.118800163269043,-0.18880000710487366,7197.176873419676,4.1747858338878325,-0.1681866419375389,7195.271416424865,4.175585382996001,-0.1703487795938683,-1.9054569948111748,0.0007995491081684847,-0.002162137656329388
2535,1396576511137730432,6059.21826171875,4.450300216674805,-1.4852999448776245,6059.21826171875,4.450300216674805,-1.4852999448776243,6059.21826171875,4.450300216674805,-1.4852999448776243,0.0,0.0,0.0
2179,902969152603806720,5572.12744140625,4.730500221252441,-1.5885000228881836,5711.070136803863,4.735609335794913,-1.7318332799686775,5572.12744140625,4.730500221252441,-1.5885000228881836,-138.94269539761262,-0.005109114542471538,0.14333325708049394
2570,920409502964685184,7427.52099609375,4.301199913024902,-0.46309998631477356,7466.884977113371,4.311422896439204,-0.4568792063642002,7462.298871098024,4.309663216729039,-0.455308124707172,-4.586106015346559,-0.0017596797101653294,0.0015710816570281838
1406,882419653941851392,6332.20068359375,4.48769998550415,-1.4936000108718872,6337.661406840746,4.4946700551981404,-1.6773352751255752,6336.999858113108,4.493921003952985,-1.640880601402955,-0.6615487276385466,-0.0007490512451555631,0.03645467372262012
