test_index,source_id,gaia_teff,gaia_logg,gaia_mh,real_teff,real_logg,real_mh,pred_teff,pred_logg,pred_mh,delta_teff,delta_logg,delta_mh
63,152047619011614592,5181.03173828125,4.667799949645996,-0.8967000246047974,5289.271387623633,4.674996176697968,-0.9054043392010226,5187.687518061762,4.669123137110589,-0.8962156476542537,-101.58386956187132,-0.005873039587379836,0.009188691546768935
3594,1297820202093665792,5753.4296875,4.678800106048584,-1.1166000366210938,5762.208458989909,4.675309985432283,-1.1256344004551762,5759.936370254821,4.676134646912045,-1.122417292671438,-2.272088735087891,0.0008246614797622343,0.0032171077837381823
1248,580515167071431424,6104.623046875,4.6595001220703125,-1.1586999893188477,6105.328300050835,4.659957074362147,-1.1582805111819838,6104.623046875,4.6595001220703125,-1.1586999893188477,-0.7052531758354235,-0.00045695229183451147,-0.00041947813686382673
3984,1548356295989132032,6033.6689453125,4.165500164031982,-0.6890000104904175,6034.768223837901,4.165739743566902,-0.6886871283371517,6035.960733287834,4.165136861100626,-0.6890529989323767,1.1925094499329134,-0.0006028824662758225,-0.0003658705952249708
1597,147920842634097664,6010.37158203125,4.269700050354004,-0.6194000244140625,6054.532025545947,4.36156832634854,-0.8921688840718809,6027.122510943129,4.358289827104316,-0.6013153842138732,-27.40951460281849,-0.0032784992442245198,0.2908534998580077
3654,2545523143770922240,4315.8447265625,4.4496002197265625,-0.17170000076293945,4460.526705274738,4.950127647274021,-1.2961546361149223,4647.217045909514,5.0,-1.3060694290473545,186.69034063477648,0.049872352725978786,-0.009914792932432137
1802,150379556792593792,6122.2158203125,4.4191999435424805,-1.0374000072479248,6161.435015134707,4.485223639357026,-1.006656410309903,6155.322306049888,4.459929288851467,-1.0084510395818584,-6.112709084819471,-0.025294350505559393,-0.0017946292719555057
2783,2544132987412032384,4298.4677734375,4.50439977645874,-0.01080000028014183,4000.268200635473,5.0,-2.5428330175971525,4488.41507196172,5.0,-1.241064696372615,488.14687132624704,0.0,1.3017683212245375
2621,2535967533027855104,4000.87939453125,4.6768999099731445,-0.09130000323057175,3939.1051960886175,5.0,-1.822875301673017,3937.1341075435234,5.0,-1.746044512285033,-1.9710885450940623,0.0,0.07683078938798404
4015,1667279920324171008,6388.3359375,4.172500133514404,-1.5169999599456787,6452.734837044191,4.17155536438703,-1.532721075642223,6417.846490369531,4.184781372878302,-1.5287232131332482,-34.88834667466017,0.01322600849127209,0.003997862508974714
