test_index,source_id,gaia_teff,gaia_logg,gaia_mh,real_teff,real_logg,real_mh,pred_teff,pred_logg,pred_mh,delta_teff,delta_logg,delta_mh
63,152047619011614592,5181.03173828125,4.667799949645996,-0.8967000246047974,5289.271387623633,4.674996176697968,-0.9054043392010226,5206.790401944569,4.981088986809094,-1.0319096806995032,-82.48098567906436,0.3060928101111253,-0.12650534149848058
3594,1297820202093665792,5753.4296875,4.678800106048584,-1.1166000366210938,5762.208458989909,4.675309985432283,-1.1256344004551762,5753.920889667958,4.679022504981476,-1.1159068559833472,-8.287569321950286,0.0037125195491931606,0.009727544471828997
1248,580515167071431424,6104.623046875,4.6595001220703125,-1.1586999893188477,6105.328300050835,4.659957074362147,-1.1582805111819838,6105.355202043847,4.659934266587406,-1.1583433049339535,0.026901993011961167,-2.2807774740840614e-05,-6.279375196971415e-05
3984,1548356295989132032,6033.6689453125,4.165500164031982,-0.6890000104904175,6034.768223837901,4.165739743566902,-0.6886871283371517,6034.743651397299,4.16601032093674,-0.6889172290983997,-0.02457244060224184,0.00027057736983859826,-0.00023010076124796441
1597,147920842634097664,6010.37158203125,4.269700050354004,-0.6194000244140625,6054.532025545947,4.36156832634854,-0.8921688840718809,6027.101263399852,4.370086569248277,-0.9015179482345963,-27.43076214609573,0.00851824289973635,-0.009349064162715415
3654,2545523143770922240,4315.8447265625,4.4496002197265625,-0.17170000076293945,4460.526705274738,4.950127647274021,-1.2961546361149223,4874.532017799481,4.869548976860553,-1.6500332167750082,414.0053125247432,-0.08057867041346789,-0.35387858066008593
1802,150379556792593792,6122.2158203125,4.4191999435424805,-1.0374000072479248,6161.435015134707,4.485223639357026,-1.006656410309903,6154.308012710381,4.4601121717966,-1.006883451456761,-7.127002424325838,-0.025111467560426703,-0.00022704114685812016
2783,2544132987412032384,4298.4677734375,4.50439977645874,-0.01080000028014183,4000.268200635473,5.0,-2.5428330175971525,4041.231358940149,5.0,-3.166333095053007,40.9631583046762,0.0,-0.6235000774558546
2621,2535967533027855104,4000.87939453125,4.6768999099731445,-0.09130000323057175,3939.1051960886175,5.0,-1.822875301673017,4532.318954170017,5.0,-1.289913752342488,593.2137580813992,0.0,0.5329615493305291
4015,1667279920324171008,6388.3359375,4.172500133514404,-1.5169999599456787,6452.734837044191,4.17155536438703,-1.532721075642223,6416.174946740085,4.185045070938572,-1.527069857251826,-36.559890304106375,0.013489706551542469,0.00565121839039695
3313,2678007938366967936,5280.75,4.644800186157227,-0.8652999997138977,5345.88019497187,4.665745953701418,-0.8128681086627682,5444.4092325047795,4.675041524899024,-0.8076513063663118,98.52903753290957,0.009295571197606378,0.00521680229645638
460,175932688060588544,7177.5322265625,4.118800163269043,-0.18880000710487366,7197.176873419676,4.1747858338878325,-0.1681866419375389,7195.3616140711865,4.175117069140847,-0.16909631046953982,-1.815259348489235,0.00033123525301448353,-0.0009096685320009179
2535,1396576511137730432,6059.21826171875,4.450300216674805,-1.4852999448776245,6059.21826171875,4.450300216674805,-1.4852999448776243,6059.21826171875,4.450300216674805,-1.4852999448776245,0.0,0.0,-2.220446049250313e-16
2179,902969152603806720,5572.12744140625,4.730500221252441,-1.5885000228881836,5711.070136803863,4.735609335794913,-1.7318332799686775,5627.763048115452,4.731668652374449,-1.6226965881907793,-83.30708868841066,-0.003940683420464275,0.1091366917778982
2570,920409502964685184,7427.52099609375,4.301199913024902,-0.46309998631477356,7466.884977113371,4.311422896439204,-0.4568792063642002,7465.221225368101,4.309352333202821,-0.4571589511157047,-1.6637517452700195,-0.002070563236382661,-0.00027974475150449596
1406,882419653941851392,6332.20068359375,4.48769998550415,-1.4936000108718872,6337.661406840746,4.4946700551981404,-1.6773352751255752,6336.403619830842,4.493098036317615,-1.6170810585253164,-1.25778700990395,-0.0015720188805250501,0.06025421660025887
3809,1380098065948816512,6147.5693359375,4.186800003051758,-1.2110999822616577,6147.5693359375,4.186800003051758,-1.2110999822616575,6147.5693359375,4.186800003051758,-1.2110999822616577,0.0,0.0,-2.220446049250313e-16
